Parent-Region,Region,u_name,costPerWeek,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,safety,nature,hiking,beach,watersports,entertainment,wintersports,culture,culinary,architecture,shopping
Indonesia,Sumatra and Java,IDN_SU,,--,-,o,o,++,++,++,++,+,o,-,--,,+,+,o,+,o,--,+,o,+,o
Indonesia,Bali and Lombok,IDN_BA,,--,--,-,o,+,++,++,++,++,+,o,-,,+,o,+,+,o,--,o,o,o,-
Indonesia,Indonesian islands west of Lombok,IDN_RE,,--,--,-,o,+,++,++,++,++,+,o,-,,+,-,o,o,-,--,o,o,--,--
Southeast Asia,Philippines,PHL,375,+,++,++,++,o,-,--,--,--,-,-,o,o,o,o,+,+,o,--,+,o,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,East Asia,,450,,,,,,,,,,,,,,,,,,,,,,,
East Asia,China,,,,,,,,,,,,,,,+,,,,,,,,,,
China,China Northeast (Liaoning to Heilongjiang),CHN_NE,,--,--,--,-,o,+,++,+,+,o,--,--,,o,-,-,--,-,o,-,o,-,o
China,China North (Beijing region),CHN_NO,,--,--,-,o,+,++,+,++,++,+,-,--,,o,-,-,-,+,-,+,o,+,+
China,China Northwest (Shaanxi to Xinjiang),CHN_NW,500,--,--,-,o,+,++,++,++,o,o,--,--,,o,-,--,--,-,--,o,o,-,-
China,China Southwest (Guangxi to Tibet),CHN_SW,500,--,-,o,+,++,++,+,+,++,+,-,--,,+,+,--,--,o,-,+,+,-,-
China,China South-central (Sichuan to Anhui),CHN_SC,,-,-,o,+,++,+,+,+,++,+,o,-,,o,o,--,--,o,-,o,+,o,o
China,"China Southeast (Hainan to Fujian, incl. Hong Kong)",CHN_SE,,o,o,+,++,o,o,+,+,++,++,+,o,,+,o,+,+,+,--,o,o,++,++
China,China East (Shanghai region),CHN_EA,,-,-,o,+,++,+,+,+,++,+,o,-,,+,o,o,o,+,--,+,o,++,++
,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia,Taiwan,TWN,510,-,o,++,++,++,-,--,--,++,++,++,o,++,+,+,+,-,o,--,+,o,+,+
East Asia,Japan,JPN,560,-,o,++,++,++,o,-,-,++,++,+,-,++,+,+,o,-,+,o,+,o,++,+
East Asia,South Korea,KOR,490,-,-,-,+,+,o,o,o,+,++,+,-,+,+,+,-,-,o,-,+,o,+,+
East Asia,North Korea,PRK,,-,-,-,+,+,o,o,o,+,++,+,-,o,-,--,--,--,--,--,o,--,-,--
East Asia,Mongolia,MNG,350,--,--,-,o,+,++,o,o,++,+,o,--,+,o,o,--,--,-,-,o,o,--,-
,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,,350,,,,,,,,,,,,,,,,,,,,,,,
Central Asia,Uzbekistan and Turkmenistan,UZB,,--,-,o,o,++,++,+,+,++,++,+,--,o,o,o,--,--,-,o,o,o,o,-
Central Asia,Kyrgyzstan and Tajikistan,KGZ,,--,-,o,o,+,++,++,++,+,o,-,--,o,+,-,--,--,--,--,-,o,--,--
Central Asia,Kazakhstan,KAZ,,--,--,--,-,+,+,+,+,+,-,--,--,o,-,--,--,--,--,--,o,-,-,-
Central Asia,Afghanistan,AFG,,--,--,-,+,+,o,-,o,+,+,o,--,--,-,-,--,--,-,--,o,o,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,Australia,,560,,,,,,,,,,,,,+,,,,,,,,,,
Australia,Australia West,AUS_WE,,o,o,++,+,o,-,-,o,++,++,++,o,,+,+,+,+,o,--,o,-,-,o
Australia,Australia Northeast,AUS_NE,,-,-,-,-,o,+,+,++,++,++,+,o,,+,o,++,++,o,--,o,-,-,o
Australia,Australia South,AUS_SO,,o,+,++,++,o,-,-,o,++,++,++,o,,+,+,+,+,o,--,o,-,o,o
Oceania,New Zealand,NZL,490,++,++,++,+,o,-,-,-,-,o,+,++,++,++,+,o,o,o,-,o,o,o,o
Oceania,Papua New Guinea,PNG,750,--,--,--,-,-,+,+,+,+,o,-,--,o,o,+,o,o,o,--,+,o,-,--
,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,Pacific,,,o,o,o,+,+,+,+,+,+,+,+,o,+,,,,,,,,,,
Pacific,Micronesia,FSM,750,,,,,,,,,,,,,,+,-,++,+,-,--,+,o,--,-
Pacific,Melanesia,SLB,750,,,,,,,,,,,,,,+,-,++,+,-,--,+,o,--,-
Pacific,Polynesia,PYF,800,,,,,,,,,,,,,,+,-,++,+,o,--,+,o,--,-
,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,North Europe,,,-,-,-,o,+,++,++,++,+,o,o,-,++,,,,,,,,,,
North Europe,Norway,NOR,560,,,,,,,,,,,,,,+,+,--,-,-,+,o,o,-,o
North Europe,Finland,FIN,525,,,,,,,,,,,,,,+,o,--,-,o,o,o,o,-,o
North Europe,Sweden and Denmark,SWE,525,,,,,,,,,,,,,,+,o,-,o,o,o,o,o,o,o
North Europe,Iceland and Faroe Islands,ISL,560,,,,,,,,,,,,,,+,+,--,o,-,-,o,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,Central Europe,,,o,-,o,o,+,++,++,++,++,+,-,o,+,,,,,,,,,,
Central Europe,Germany,DEU,420,,,,,,,,,,,,,,o,o,-,-,+,o,+,o,+,o
Central Europe,Austria,AUT,500,+,+,+,o,+,++,++,++,+,o,-,+,,+,+,--,-,o,++,+,o,+,o
Central Europe,Benelux,NLD,420,,,,,,,,,,,,,,o,o,-,-,o,-,+,-,+,o
Central Europe,Switzerland and Liechtenstein,CHE,750,+,+,+,o,+,++,++,++,+,o,-,+,,+,+,--,-,o,++,+,o,+,o
Central Europe,France,FRA,420,,,,,,,,,,,,,,+,+,+,o,o,o,+,+,+,+
Central Europe,Slovenia and Croatia,SVN,350,,,,,,,,,,,,,,o,o,+,o,o,-,+,o,+,o
,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,British Islands,,420,-,-,o,+,++,++,+,+,+,+,o,-,+,,,,,,,,,,
British Islands,Ireland and Northern Ireland,IRL,,,,,,,,,,,,,,,+,o,--,--,o,-,+,o,o,o
British Islands,Scotland,GBR_SC,,,,,,,,,,,,,,,o,o,--,--,o,-,+,-,o,o
British Islands,England and Wales,GBR_EN,,,,,,,,,,,,,,,o,o,-,--,o,--,+,-,+,+
,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,Eastern Europe,,350,-,-,-,o,++,++,+,+,++,++,o,-,+,,,-,,,,,,,
Eastern Europe,Czech Republic and Slovakia,CZE,,,,,,,,,,,,,,,o,o,--,--,o,o,+,o,+,o
Eastern Europe,Hungary,HUN,,,,,,,,,,,,,,,o,+,-,-,o,-,+,o,+,o
Eastern Europe,Baltic states,EST,,,,,,,,,,,,,,,o,o,-,-,o,-,+,o,+,-
Eastern Europe,Poland,POL,,,,,,,,,,,,,,,o,-,-,-,o,--,o,o,o,o
Eastern Europe,"Belarus, Ukraine and Moldova",BLR,,,,,,,,,,,,,,,o,o,-,-,-,-,o,o,-,-
Eastern Europe,"Romania, Bulgaria and Macedonia",ROU,,,,,,,,,,,,,,,o,o,o,o,-,--,o,o,o,-
Eastern Europe,"Serbia, Bosnia and Herzegovina, Montenegro",SRB,,,,,,,,,,,,,,,-,-,--,--,-,--,o,o,-,-
Eastern Europe,"Albania, Kosovo",ALB,,,,,,,,,,,,,,,-,-,o,-,-,--,o,o,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,Southern Europe,,350,-,-,o,++,++,++,+,+,++,++,+,o,o,,,,,,,,,,
Southern Europe,Corsica and Sardinia,FRA_CO,,,,,,,,,,,,,,,o,o,+,o,-,--,o,o,-,-
Southern Europe,Italy and Malta,ITA,,,,,,,,,,,,,,,+,+,+,+,o,--,++,+,++,o
Southern Europe,"Greece, mainland",GRC_ML,,,,,,,,,,,,,,,+,+,+,+,o,--,+,+,+,o
Southern Europe,"Greece, islands",GRC_IS,,,,,,,,,,,,,,,+,o,++,+,+,--,++,+,o,-
Southern Europe,"Spain, mainland",ESP_ML,,,,,,,,,,,,,,,o,-,++,+,+,--,+,+,+,o
Southern Europe,"Spain, Balearic Islands",ESP_BA,,-,-,o,+,++,++,+,+,++,++,o,-,,+,+,++,+,++,--,o,+,o,-
Southern Europe,"Spain, Canary islands",ESP_CA,,+,+,+,++,++,++,+,+,++,++,++,o,,o,o,+,o,+,--,o,o,o,-
Southern Europe,"Portugal, mainland",PRT,,,,,,,,,,,,,,,o,o,+,o,o,--,+,+,+,-
Southern Europe,"Portugal, islands",PRT_IS,,,,,,,,,,,,,,,+,+,+,+,o,--,+,o,o,-
Southern Europe,Turkey,TUR,,,,,,,,,,,,,,,o,o,+,o,o,o,++,+,+,o
Southern Europe,Cyprus,CYP,,,,,,,,,,,,,,,-,o,+,+,o,--,+,o,o,-
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
